Ano,cod_ibge,Municipio,Furto de veículo 2014,Furto outros 2014,Homicídio culposo outros 2014,Homicídio culposo por acidente de trânsito 2014,Latrocínio 2014,Lesão corporal culposa outras 2014,Lesão corporal culposa por acidente de trânsito 2014,Lesão corporal dolosa 2014,Vítimas de homicídio 2014,Tentativa de homicídio 2014,Total de estupro 2014,Total de Roubo 2014,Indice Criminalidade 2014,Classificação 2014
2014,3532306,Natividade da Serra,4,53,0,0,0,0,14,37,1,1,2,0,0.23622544627541167,Baixo
2014,3532405,Nazare Paulista,13,139,0,9,0,0,41,75,5,4,8,22,0.22810409512061927,Baixo
2014,3532504,Neves Paulista,8,70,0,3,0,30,23,20,2,0,4,4,0.2223914154485216,Baixo
2014,3532603,Nhandeara,3,100,1,2,0,3,38,47,0,0,3,9,0.23685515922071554,Baixo
2014,3532702,Nipoa,1,41,0,0,0,0,11,19,0,1,0,1,0.2070903423264862,Baixo
2014,3532801,Nova Alianca,0,56,0,4,0,0,12,47,0,2,4,3,0.35007399558328167,Baixo
2014,3532827,Nova Campina,3,45,0,0,0,0,5,56,0,1,1,2,0.2489047790830719,Baixo
2014,3532843,Nova Canaa Paulista,1,6,0,0,0,0,2,12,0,0,0,0,0.19649492155708528,Muito Baixo
2014,3532868,Nova Castilho,0,4,0,0,0,0,2,3,0,0,2,0,0.091617842364897,Muito Baixo
2014,3532900,Nova Europa,2,29,0,0,0,0,2,34,0,3,3,9,0.12220934480915964,Muito Baixo
2014,3533007,Nova Granada,15,165,0,4,0,1,65,110,2,2,2,14,0.2656195915241051,Baixo
2014,3533106,Nova Guataporanga,0,4,0,0,0,0,6,25,0,0,0,0,0.38247925778731473,Baixo
2014,3533205,Nova Independencia,1,26,0,0,0,0,11,22,0,1,1,0,0.25321235521376634,Baixo
2014,3533254,Novais,1,12,0,0,0,0,8,11,0,0,2,0,0.07520598519689213,Muito Baixo
2014,3533304,Nova Luzitania,0,18,0,0,0,0,9,9,0,1,0,0,0.11256338322509196,Muito Baixo
2014,3533403,Nova Odessa,177,647,1,4,0,0,283,229,4,2,12,191,0.26220844187059267,Baixo
2014,3533502,Novo Horizonte,35,283,1,6,0,1,167,238,2,1,13,13,0.2800854622997513,Baixo
2014,3533601,Nuporanga,3,44,0,0,0,0,13,34,1,0,4,1,0.19920163423238782,Muito Baixo
2014,3533700,Ocaucu,0,18,0,0,0,0,6,19,0,0,1,3,0.16211813912421494,Muito Baixo
2014,3533809,Oleo,4,8,0,0,0,0,2,9,0,0,0,0,0.12779333909215831,Muito Baixo
2014,3533908,Olimpia,83,637,0,18,1,10,364,287,3,3,7,78,0.3159083562698643,Baixo
2014,3534005,Onda Verde,2,60,0,7,0,3,13,18,1,1,1,0,0.3549640200799938,Baixo
2014,3534104,Oriente,2,31,0,4,0,0,8,27,3,0,0,3,0.19932432008805784,Muito Baixo
2014,3534203,Orindiuva,3,57,0,2,0,1,10,21,0,0,2,1,0.21131505325950797,Baixo
2014,3534302,Orlandia,68,357,1,3,0,2,130,176,2,5,9,32,0.23100155107814307,Baixo
2014,3534401,Osasco,3603,6775,0,46,7,96,1779,2166,65,65,134,8479,0.22886813829320776,Baixo
2014,3534500,Oscar Bressane,0,9,0,1,0,0,3,12,0,0,0,0,0.18090184588200173,Muito Baixo
2014,3534609,Osvaldo Cruz,18,383,0,5,0,20,173,141,0,2,9,9,0.2724979356852063,Baixo
2014,3534708,Ourinhos,144,1383,2,15,0,13,603,674,6,13,33,110,0.3463627078292794,Baixo
2014,3534757,Ouroeste,8,40,0,3,0,6,26,53,1,2,4,9,0.25032062084283263,Baixo
2014,3534807,Ouro Verde,1,14,0,0,0,0,14,30,0,2,2,5,0.11471649704966957,Muito Baixo
2014,3534906,Pacaembu,1,28,0,4,0,0,34,95,0,0,2,10,0.23662629509805871,Baixo
2014,3535002,Palestina,5,60,0,2,0,2,17,45,0,0,7,0,0.173178386502026,Muito Baixo
2014,3535101,Palmares Paulista,2,43,0,1,0,4,19,54,1,2,3,5,0.19741346586360597,Muito Baixo
2014,3535200,Palmeira d'Oeste,8,40,0,5,0,0,28,38,1,0,3,4,0.1786493582055118,Muito Baixo
2014,3535309,Palmital,15,315,0,0,0,0,57,65,2,4,15,25,0.23034069471676386,Baixo
2014,3535408,Panorama,11,185,0,1,0,3,53,136,0,3,6,7,0.42320768180944196,Médio
2014,3535507,Paraguacu Paulista,19,619,0,3,0,1,51,291,7,6,5,39,0.35990450855944844,Baixo
2014,3535606,Paraibuna,11,162,0,8,0,0,79,104,2,1,6,13,0.28820027576073687,Baixo
2014,3535705,Paraiso,2,47,0,0,0,1,18,31,0,0,5,4,0.22890530838145456,Baixo
2014,3535804,Paranapanema,1,102,1,3,0,1,20,75,0,1,10,4,0.17214262878273803,Muito Baixo
2014,3535903,Paranapua,3,33,0,0,0,1,4,18,0,1,1,1,0.22284471031600833,Baixo
2014,3536000,Parapua,4,122,0,9,0,1,44,71,1,2,5,2,0.34876162208267886,Baixo
2014,3536109,Pardinho,0,49,0,2,0,0,20,24,0,1,2,6,0.19342414566811017,Muito Baixo
2014,3536208,Pariquera-Acu,17,166,0,5,0,1,71,85,2,6,12,37,0.2316823718365861,Baixo
2014,3536257,Parisi,2,8,0,1,0,0,8,13,0,1,1,0,0.22249057302007733,Baixo
2014,3536307,Patrocinio Paulista,14,176,0,1,0,19,15,34,1,2,7,25,0.228378518481186,Baixo
2014,3536406,Pauliceia,12,73,0,0,0,0,16,54,0,3,1,1,0.35892641083790655,Baixo
2014,3536505,Paulinia,287,1221,0,16,0,12,320,436,12,9,34,393,0.3055727524753415,Baixo
2014,3536570,Paulistania,1,5,0,2,0,0,2,11,0,0,1,2,0.2475487525373336,Baixo
2014,3536604,Paulo de Faria,2,57,1,3,0,0,6,31,0,1,3,6,0.18603500178723875,Muito Baixo
2014,3536703,Pederneiras,71,334,1,14,0,3,271,251,10,4,11,85,0.2796083790507253,Baixo
2014,3536802,Pedra Bela,3,30,0,1,0,1,13,28,0,0,2,4,0.190854872329707,Muito Baixo
2014,3536901,Pedranopolis,0,13,0,1,0,1,3,3,0,0,2,0,0.07681211872087264,Muito Baixo
2014,3537008,Pedregulho,10,140,2,6,0,0,8,100,3,1,4,7,0.3034345213503137,Baixo
2014,3537107,Pedreira,110,316,0,1,0,0,271,232,2,2,6,66,0.25648952581712475,Baixo
2014,3537156,Pedrinhas Paulista,0,17,0,0,0,1,4,14,1,0,1,0,0.19910248782703618,Muito Baixo
2014,3537206,Pedro de Toledo,2,87,0,3,0,2,14,44,1,2,0,7,0.2079409944301677,Baixo
2014,3537305,Penapolis,58,653,2,8,0,13,491,293,1,7,22,104,0.2659876512422638,Baixo
2014,3537404,Pereira Barreto,31,355,0,4,0,1,108,155,5,10,10,36,0.34325001566314434,Baixo
2014,3537503,Pereiras,9,49,0,2,0,0,9,29,0,0,8,8,0.17640195246410623,Muito Baixo
2014,3537602,Peruibe,181,1330,0,8,0,31,167,268,7,2,18,710,0.3695657765541608,Baixo
2014,3537701,Piacatu,1,33,0,1,0,0,10,31,0,0,2,1,0.23311678865605825,Baixo
2014,3537800,Piedade,15,330,1,12,0,2,140,130,2,7,15,45,0.12633319580948518,Muito Baixo
2014,3537909,Pilar do Sul,28,200,0,5,0,8,60,107,1,4,5,33,0.20168192496828674,Baixo
2014,3538006,Pindamonhangaba,165,1374,0,32,3,2,581,521,39,23,30,781,0.19203913936058434,Muito Baixo
2014,3538105,Pindorama,14,80,0,3,0,2,71,81,1,2,7,15,0.22696866285421044,Baixo
2014,3538204,Pinhalzinho,14,108,0,4,0,0,23,32,1,2,3,6,0.1445085104432738,Muito Baixo
