Territorialidades,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010
Estrela do Norte (SP),"0,74","0,693","0,818","0,714"
Euclides da Cunha Paulista (SP),"0,704","0,663","0,802","0,655"
Fartura (SP),"0,732","0,699","0,867","0,648"
Fernandópolis (SP),"0,797","0,767","0,872","0,758"
Fernando Prestes (SP),"0,758","0,746","0,859","0,68"
Fernão (SP),"0,703","0,668","0,843","0,617"
Ferraz de Vasconcelos (SP),"0,738","0,691","0,828","0,703"
Flora Rica (SP),"0,727","0,668","0,796","0,723"
Floreal (SP),"0,747","0,71","0,808","0,726"
Flórida Paulista (SP),"0,715","0,702","0,807","0,646"
Florínia (SP),"0,713","0,678","0,82","0,652"
Franca (SP),"0,78","0,749","0,842","0,753"
Francisco Morato (SP),"0,703","0,659","0,815","0,647"
Franco da Rocha (SP),"0,731","0,702","0,852","0,654"
Gabriel Monteiro (SP),"0,763","0,721","0,809","0,762"
Gália (SP),"0,709","0,684","0,823","0,634"
Garça (SP),"0,769","0,737","0,849","0,728"
Gastão Vidigal (SP),"0,723","0,727","0,817","0,635"
Gavião Peixoto (SP),"0,719","0,687","0,802","0,676"
General Salgado (SP),"0,747","0,734","0,808","0,702"
Getulina (SP),"0,717","0,696","0,813","0,652"
Glicério (SP),"0,735","0,735","0,858","0,63"
Guaiçara (SP),"0,739","0,697","0,853","0,679"
Guaimbê (SP),"0,728","0,675","0,83","0,689"
Guaíra (SP),"0,753","0,759","0,824","0,683"
Guapiaçu (SP),"0,725","0,728","0,866","0,605"
Guapiara (SP),"0,675","0,634","0,806","0,602"
Guaraçaí (SP),"0,719","0,699","0,803","0,663"
Guaraci (SP),"0,737","0,698","0,84","0,682"
Guarani D'Oeste (SP),"0,732","0,682","0,806","0,714"
Guarantã (SP),"0,713","0,698","0,832","0,623"
Guararapes (SP),"0,763","0,727","0,84","0,726"
Guararema (SP),"0,731","0,729","0,817","0,656"
Guará (SP),"0,718","0,71","0,826","0,63"
Guaratinguetá (SP),"0,798","0,764","0,886","0,751"
Guareí (SP),"0,687","0,692","0,805","0,583"
Guariba (SP),"0,719","0,712","0,811","0,645"
Guarujá (SP),"0,751","0,729","0,854","0,679"
Guarulhos (SP),"0,763","0,746","0,831","0,717"
Guatapará (SP),"0,743","0,724","0,822","0,688"
Guzolândia (SP),"0,697","0,676","0,808","0,621"
Herculândia (SP),"0,727","0,68","0,809","0,698"
Holambra (SP),"0,793","0,815","0,878","0,698"
Hortolândia (SP),"0,756","0,716","0,859","0,703"
Iacanga (SP),"0,745","0,721","0,851","0,675"
Iacri (SP),"0,733","0,701","0,857","0,655"
Iaras (SP),"0,674","0,664","0,848","0,543"
Ibaté (SP),"0,703","0,681","0,814","0,627"
Ibirarema (SP),"0,708","0,692","0,817","0,628"
Ibirá (SP),"0,74","0,741","0,841","0,65"
Ibitinga (SP),"0,747","0,738","0,846","0,667"
Ibiúna (SP),"0,71","0,7","0,832","0,614"
Icém (SP),"0,72","0,716","0,806","0,646"
Iepê (SP),"0,736","0,7","0,814","0,7"
Igaraçu do Tietê (SP),"0,727","0,691","0,838","0,664"
Igarapava (SP),"0,768","0,809","0,835","0,671"
Igaratá (SP),"0,711","0,683","0,855","0,616"
Iguape (SP),"0,726","0,691","0,847","0,653"
Ilhabela (SP),"0,756","0,739","0,843","0,693"
Ilha Comprida (SP),"0,725","0,696","0,823","0,666"
Ilha Solteira (SP),"0,812","0,786","0,871","0,782"
Indaiatuba (SP),"0,788","0,791","0,837","0,738"
Indiana (SP),"0,761","0,714","0,843","0,733"
Indiaporã (SP),"0,751","0,714","0,835","0,71"
Inúbia Paulista (SP),"0,759","0,688","0,849","0,75"
Ipaussu (SP),"0,727","0,713","0,828","0,65"
Iperó (SP),"0,719","0,68","0,814","0,672"
Ipeúna (SP),"0,753","0,737","0,845","0,685"
Ipiguá (SP),"0,73","0,696","0,839","0,666"
Iporanga (SP),"0,703","0,637","0,816","0,668"
Ipuã (SP),"0,749","0,759","0,848","0,654"
Iracemápolis (SP),"0,776","0,742","0,863","0,729"
Irapuã (SP),"0,713","0,688","0,844","0,624"
Irapuru (SP),"0,712","0,691","0,839","0,622"
Itaberá (SP),"0,693","0,652","0,803","0,636"
Itaí (SP),"0,713","0,692","0,83","0,63"
Itajobi (SP),"0,73","0,727","0,832","0,644"
Itaju (SP),"0,705","0,696","0,823","0,613"
Itanhaém (SP),"0,745","0,716","0,823","0,701"
Itaóca (SP),"0,68","0,627","0,787","0,637"
Itapecerica da Serra (SP),"0,742","0,699","0,852","0,687"
Itapetininga (SP),"0,763","0,728","0,864","0,705"
Itapeva (SP),"0,732","0,702","0,803","0,697"
Itapevi (SP),"0,735","0,687","0,855","0,677"
Itapirapuã Paulista (SP),"0,661","0,595","0,816","0,594"
Itapira (SP),"0,762","0,75","0,852","0,692"
Itápolis (SP),"0,744","0,738","0,836","0,667"
Itaporanga (SP),"0,719","0,681","0,835","0,653"
Itapuí (SP),"0,725","0,716","0,841","0,633"
Itapura (SP),"0,72","0,682","0,813","0,673"
Itaquaquecetuba (SP),"0,714","0,665","0,844","0,648"
Itararé (SP),"0,703","0,668","0,803","0,649"
Itariri (SP),"0,677","0,642","0,837","0,577"
Itatiba (SP),"0,778","0,788","0,844","0,708"
Itatinga (SP),"0,706","0,685","0,841","0,61"
Itirapina (SP),"0,724","0,734","0,813","0,636"
Itirapuã (SP),"0,707","0,673","0,826","0,636"
Itobi (SP),"0,717","0,697","0,82","0,646"
Itupeva (SP),"0,762","0,75","0,844","0,699"
Itu (SP),"0,773","0,782","0,854","0,692"
Ituverava (SP),"0,765","0,768","0,841","0,694"
Jaborandi (SP),"0,711","0,679","0,845","0,627"
Jaboticabal (SP),"0,778","0,778","0,851","0,71"
Jacareí (SP),"0,777","0,749","0,837","0,749"
Jaci (SP),"0,723","0,7","0,818","0,659"
Jacupiranga (SP),"0,717","0,687","0,832","0,644"
Jaguariúna (SP),"0,784","0,782","0,862","0,715"
Jales (SP),"0,776","0,75","0,855","0,73"
Jambeiro (SP),"0,756","0,727","0,86","0,69"
Jandira (SP),"0,76","0,738","0,841","0,706"
Jardinópolis (SP),"0,735","0,728","0,853","0,64"
Jarinu (SP),"0,733","0,723","0,826","0,659"
