Cod_ibge,Municipio,coord_centroide_x,coord_centroide_y
3554508,Tietê,-47.708,-23.049
3554805,Tremembé,-45.604,-22.941
3531803,Monte Mor,-47.307,-22.953
3526407,Laranjal Paulista,-47.865,-23.012
3525508,Joanópolis,-46.209,-22.939
3510401,Capivari,-47.478,-22.980
3534708,Ourinhos,-49.853,-22.953
3544301,Roseira,-45.302,-22.933
3532009,Morungaba,-46.782,-22.893
3531704,Monteiro Lobato,-45.804,-22.936
3519071,Hortolândia,-47.208,-22.878
3504503,Avaré,-48.894,-23.075
3507605,Bragança Paulista,-46.556,-22.938
3512308,Conchas,-48.047,-22.965
3549904,São José dos Campos,-45.929,-23.091
3502507,Aparecida,-45.237,-22.914
3556354,Vargem,-46.414,-22.891
3545159,Saltinho,-47.732,-22.871
3513603,Cunha,-44.942,-23.052
3545407,Salto Grande,-49.961,-22.870
3540754,Potim,-45.304,-22.825
3552403,Sumaré,-47.263,-22.842
3516101,Florínea,-50.696,-22.881
3554953,Tuiuti,-46.688,-22.830
3548203,Santo Antônio do Pinhal,-45.700,-22.831
3544004,Rio das Pedras,-47.598,-22.850
3541059,Pratânia,-48.697,-22.818
3537156,Pedrinhas Paulista,-50.802,-22.817
3533403,Nova Odessa,-47.284,-22.784
3509502,Campinas,-47.044,-22.884
3500550,Águas de Santa Bárbara,-49.261,-22.858
3538204,Pinhalzinho,-46.573,-22.778
3538006,Pindamonhangaba,-45.459,-22.880
3536802,Pedra Bela,-46.442,-22.775
3545803,Santa Bárbara d'Oeste,-47.428,-22.800
3535309,Palmital,-50.221,-22.829
3537107,Pedreira,-46.888,-22.755
3519501,Ibirarema,-50.077,-22.813
3536505,Paulínia,-47.144,-22.748
3509957,Canas,-45.041,-22.730
3553955,Tarumã,-50.601,-22.763
3510005,Cândido Mota,-50.422,-22.809
3513306,Cruzália,-50.770,-22.737
3519253,Iaras,-49.107,-22.819
3543204,Ribeirão do Sul,-49.923,-22.751
3501608,Americana,-47.288,-22.723
3531209,Monte Alegre do Sul,-46.668,-22.704
3527207,Lorena,-45.060,-22.793
3524709,Jaguariúna,-47.012,-22.692
3518404,Guaratinguetá,-45.233,-22.793
3549607,São José do Barreiro,-44.587,-22.749
3552007,Silveiras,-44.841,-22.734
3507506,Botucatu,-48.468,-22.863
3502309,Anhembi,-48.175,-22.800
3509700,Campos do Jordão,-45.533,-22.702
3504909,Bananal,-44.334,-22.734
3500600,Águas de São Pedro,-47.876,-22.599
3515194,Espírito Santo do Turvo,-49.433,-22.670
3548609,São Bento do Sapucaí,-45.686,-22.681
3503158,Arapeí,-44.439,-22.673
3512803,Cosmópolis,-47.186,-22.651
3519055,Holambra,-47.064,-22.629
3508603,Cachoeira Paulista,-44.992,-22.702
3548005,Santo Antônio de Posse,-46.950,-22.603
3501905,Amparo,-46.799,-22.699
3550100,São Manuel,-48.540,-22.682
3503604,Areiópolis,-48.653,-22.631
3507456,Borebi,-48.992,-22.680
3539707,Platina,-50.213,-22.625
3538709,Piracicaba,-47.784,-22.726
3503505,Areias,-44.712,-22.673
3521408,Iracemápolis,-47.524,-22.593
3546405,Santa Cruz do Rio Pardo,-49.569,-22.809
3528809,Maracaí,-50.746,-22.652
3551603,Serra Negra,-46.687,-22.589
3550506,São Pedro do Turvo,-49.772,-22.679
3520004,Igaraçu do Tietê,-48.575,-22.541
3538501,Piquete,-45.173,-22.590
3536570,Paulistânia,-49.306,-22.568
3509809,Campos Novos Paulista,-50.010,-22.611
3526803,Lençóis Paulista,-48.825,-22.676
3532157,Nantes,-51.201,-22.597
3547007,Santa Maria da Serra,-48.154,-22.564
3519907,Iepê,-51.057,-22.648
3503802,Artur Nogueira,-47.132,-22.561
3527009,Lindóia,-46.655,-22.513
3552106,Socorro,-46.524,-22.611
3513405,Cruzeiro,-45.006,-22.551
3526902,Limeira,-47.363,-22.598
3504008,Assis,-50.421,-22.601
3511706,Charqueada,-47.746,-22.530
3555505,Ubirajara,-49.666,-22.544
3500501,Águas de Lindóia,-46.604,-22.475
3515152,Engenheiro Coelho,-47.175,-22.487
3550407,São Pedro,-47.924,-22.558
3526605,Lavrinhas,-44.889,-22.520
3512407,Cordeirópolis,-47.414,-22.479
3546702,Santa Gertrudes,-47.521,-22.475
3505302,Barra Bonita,-48.541,-22.479
3541901,Queluz,-44.785,-22.504
3515301,Estrela do Norte,-51.670,-22.485
3515350,Euclides da Cunha Paulista,-52.589,-22.519
3508306,Cabrália Paulista,-49.373,-22.489
3527504,Lucianópolis,-49.550,-22.473
3501509,Alvinlândia,-49.759,-22.452
3528007,Macatuba,-48.719,-22.487
3554706,Torrinha,-48.165,-22.444
3532207,Narandiba,-51.522,-22.564
3527801,Lupércio,-49.817,-22.427
3529807,Mineiros do Tietê,-48.433,-22.463
3500709,Agudos,-49.109,-22.571
3521101,Ipeúna,-47.716,-22.423
3533700,Ocauçu,-49.938,-22.438
3552908,Taciba,-51.342,-22.505
3545506,Sandovalina,-51.842,-22.478
3515657,Fernão,-49.543,-22.366
3539400,Piratininga,-49.192,-22.425
3544251,Rosana,-52.834,-22.489
3530805,Mogi Mirim,-46.988,-22.451
3514502,Duartina,-49.413,-22.393
3522604,Itapira,-46.772,-22.432
3512209,Conchal,-47.141,-22.369
3535507,Paraguaçu Paulista,-50.627,-22.459
3553906,Tarabai,-51.626,-22.358
3514700,Echaporã,-50.201,-22.448
3543907,Rio Claro,-47.580,-22.374
3534500,Oscar Bressane,-50.257,-22.295
3502408,Anhumas,-51.428,-22.362
3539202,Pirapozinho,-51.620,-22.480
3503307,Araras,-47.324,-22.346
3557303,Estiva Gerbi,-46.943,-22.236
3516606,Gália,-49.578,-22.320
3514106,Dois Córregos,-48.341,-22.396
3554300,Teodoro Sampaio,-52.374,-22.416
3522901,Itapuí,-48.702,-22.250
3527900,Lutécia,-50.385,-22.325
3507209,Borá,-50.502,-22.244
3530201,Mirante do Paranapanema,-51.998,-22.349
3512704,Corumbataí,-47.610,-22.236
3523602,Itirapina,-47.834,-22.294
3525300,Jaú,-48.556,-22.295
3507308,Boracéia,-48.788,-22.170
3556602,Vera Cruz,-49.826,-22.234
3536703,Pederneiras,-48.861,-22.301
3526704,Leme,-47.338,-22.172
3548104,Santo Antônio do Jardim,-46.684,-22.130
3516705,Garça,-49.690,-22.230
3507902,Brotas,-48.081,-22.273
3530706,Mogi Guaçu,-47.029,-22.232
3515186,Espírito Santo do Pinhal,-46.793,-22.192
3546207,Santa Cruz da Conceição,-47.485,-22.121
3506003,Bauru,-49.126,-22.254
3520608,Indiana,-51.262,-22.134
3542404,Regente Feijó,-51.294,-22.251
3514304,Dourado,-48.334,-22.117
