,cod_ibge,Municipio,Ano,IPDM,Consumo anual de energia elétrica residencial,Consumo anual de energia elétrica comercial,Rendimento do trabalho formal,Produto Interno Bruto per capita,Indicador Riqueza,Taxas de mortalidade infantil,Taxas de mortalidade perinatal,Taxas de mortalidade 15 a 39 anos,Taxas de mortalidade 60 a 69 anos,Indicador Longevidade,Taxa de atendimento escolar na faixa etária de 0 a 3 anos,Proporção média de alunos do 5º ano com proficiência em Língua Portuguesa e Matemática,Proporção média de alunos do 9º ano com proficiência em Língua Portuguesa e Matemática,Taxas de distorção idade-série no Ensino Médio,Indicador Escolaridade
269,3504701,Balbinos,2022,0.581,2.23857593143673,5.59959090909091,257.178316424459,17676.2738033968,0.207,9.9009900990099,0.0,0.523491689569428,21.3178294573643,0.818,76.7857142857143,70.585,37.5,2.44,0.718
270,3504800,Bálsamo,2014,0.546,2.23831506058857,9.69555035128806,953.924395909045,40390.9853726688,0.332,8.23723228995058,3.28947368421053,0.845755365260598,14.2602495543672,0.825,57.5418994413408,30.4358304945456,27.4812309215465,6.66666666666667,0.482
271,3504800,Bálsamo,2016,0.553,2.16339507879458,8.02600472813239,853.054022030959,37908.7208748838,0.311,10.2564102564103,5.11073253833049,0.532141336739038,17.220172201722,0.799,50.8522727272727,59.6211077457353,22.1977901518447,4.59363957597173,0.549
272,3504800,Bálsamo,2018,0.574,2.65205047318612,9.6588785046729,883.54148456607,40390.9853726688,0.342,6.93240901213172,3.46020761245675,0.859383392415942,17.6070428171268,0.812,50.8620689655172,68.8853921298936,30.4301989122941,17.9916317991632,0.569
273,3504800,Bálsamo,2020,0.594,2.665351866795,10.7394790697674,905.494992835336,40677.0586445829,0.349,5.19930675909879,5.19031141868512,1.20653723812658,17.8843226788432,0.79,50.2941176470588,77.2282252469887,33.3458352634,9.34579439252337,0.643
274,3504800,Bálsamo,2022,0.569,2.52381225383061,10.05962004662,916.939416167664,30532.8116849244,0.329,6.68896321070234,9.96677740863787,1.68350168350168,22.3665223665224,0.698,66.6666666666667,71.095,36.085,6.14,0.679
275,3504909,Bananal,2014,0.435,1.92627674438392,6.79022082018927,858.799194035078,29412.5549024129,0.293,6.64451827242525,9.86842105263158,1.08306256769141,15.625,0.765,12.0720720720721,30.7981205302616,14.3604704426601,29.2237442922374,0.247
276,3504909,Bananal,2016,0.477,1.84208541699529,6.09174311926605,803.381910843209,37299.9058641117,0.283,0.0,6.84931506849315,1.49663257670242,14.3964562569214,0.812,15.0909090909091,42.6687353927236,21.5091032902143,26.7734553775744,0.337
277,3504909,Bananal,2018,0.457,2.16328471781864,5.92463768115942,808.464218285079,29412.5549024129,0.285,0.0,6.84931506849315,1.84393596513285,17.6576576576577,0.777,15.1183970856102,46.8222102498979,15.1694433821371,29.8245614035088,0.308
278,3504909,Bananal,2020,0.431,2.2216026903173,5.99729918032787,702.82242669815,26874.8979271834,0.277,7.2463768115942,10.7913669064748,1.61112524378869,21.0055096418733,0.699,15.4545454545455,43.6387319983334,16.7667355337209,26.7080745341615,0.318
