cod_ibge,municipios,Indice Criminalidade Normalizado 2014,Classificacao 2014,Indice Criminalidade Normalizado 2016,Classificacao 2016,Indice Criminalidade Normalizado 2018,Classificacao 2018,Indice Criminalidade Normalizado 2020,Classificacao 2020,Indice Criminalidade Normalizado 2022,Classificacao 2022
3532009,Morungaba,0.1949201671822197,Muito Baixo,0.1168066916617074,Muito Baixo,0.31103925294616036,Baixo,0.10406164285119802,Muito Baixo,0.09933960967803213,Muito Baixo
3532405,Nazare Paulista,0.3868205829753729,Baixo,0.5078930525454901,Médio,0.6416843342359628,Alto,0.3104196749718935,Baixo,0.3546921729380378,Baixo
3536505,Paulinia,0.77889207425278,Alto,0.7848905142069829,Alto,0.8158142886219891,Muito Alto,0.7232441474569904,Alto,0.7348893575042463,Alto
3536802,Pedra Bela,0.15767367300029364,Muito Baixo,0.1446537422868852,Muito Baixo,0.1082473327288317,Muito Baixo,0.07624363108760009,Muito Baixo,0.00968855529247946,Muito Baixo
3537107,Pedreira,0.6902782512581034,Alto,0.891207118980864,Muito Alto,0.4720563328090541,Médio,0.10808732829383302,Muito Baixo,0.0978186218426061,Muito Baixo
3538204,Pinhalzinho,0.0,Muito Baixo,0.07511042563601408,Muito Baixo,0.08763150123942919,Muito Baixo,0.1822848248474752,Muito Baixo,0.1754070734906194,Muito Baixo
3538600,Piracaia,0.5002776208861949,Médio,0.2914892303950953,Baixo,0.46066009385786916,Médio,0.1734551400142067,Muito Baixo,0.34669477052738445,Baixo
3548005,Santo Antonio de Posse,0.21981033510514006,Baixo,0.3262336833610908,Baixo,0.4308517714736659,Médio,0.36881863174274604,Baixo,0.3953466407771426,Baixo
3551603,Serra Negra,0.3734775568999039,Baixo,0.5604772082296079,Médio,0.5303104920870803,Médio,0.457687976470795,Médio,0.2407941942741424,Baixo
3552106,Socorro,0.2844825628563746,Baixo,0.2433901596618357,Baixo,0.23546563333904047,Baixo,0.18305585149491146,Muito Baixo,0.07189177196712102,Muito Baixo
3554953,Tuiuti,0.4863762310144331,Médio,0.3888648650668191,Baixo,0.1615232727533316,Muito Baixo,0.10911089213874152,Muito Baixo,0.36886941530090106,Baixo
3556206,Valinhos,0.46705532616800066,Médio,0.4141973830919535,Médio,0.5247125057526515,Médio,0.4455333074875748,Médio,0.3048837679977971,Baixo
3556354,Vargem,0.3827149829767499,Baixo,0.32295433872322776,Baixo,0.3252572148066057,Baixo,0.24144445578342869,Baixo,0.23991206332303333,Baixo
3556503,Varzea Paulista,0.396916748916787,Baixo,0.5570026154932203,Médio,0.4252717219959347,Médio,0.36550643133163035,Baixo,0.4457462026560427,Médio
3556701,Vinhedo,0.6411076224849974,Alto,0.4446061991596031,Médio,0.5393781763364589,Médio,0.3022844606403312,Baixo,0.3301498078096507,Baixo
